FY,FM,Char,Character Title,Sub-obj,Sub-object Title,Fund,Dept,Original Appn Balance,Total  (Original Appn Balance) No.8,Total  (Original Appn Balance) No.7,Total  (Original Appn Balance) No.6,Total  (Original Appn Balance) No.5,Total  (Original Appn Balance) No.4,Total  (Original Appn Balance) No.3,Total  (Original Appn Balance) No.2,Total  (Original Appn Balance) No.1,Fund Title,Department Title
2018,1,2,02 PURCHASE OF SERVICES,255,DUES                                0255,10,25,2000,2077090463,2077090463,2077090463,19173259,1164000,2000,2000,2077090463,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS       0256,10,25,19200,2077109663,2077109663,2077109663,19192459,1183200,24000,19200,2077109663,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS       0256,10,25,4800,2077114463,2077114463,2077114463,19197259,1188000,24000,24000,2077114463,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,2,02 PURCHASE OF SERVICES,260,REPAIR AND MAINTENANCE CHARGES      0260,10,25,3208396,2080322859,2080322859,2080322859,22405655,4396396,3416396,3208396,2080322859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,2,02 PURCHASE OF SERVICES,260,REPAIR AND MAINTENANCE CHARGES      0260,10,25,208000,2080530859,2080530859,2080530859,22613655,4604396,3416396,3416396,2080530859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,2,02 PURCHASE OF SERVICES,280,INSURANCE AND OFFICIAL BONDS        0280,10,25,12000,2080542859,2080542859,2080542859,22625655,4616396,12000,12000,2080542859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,2,02 PURCHASE OF SERVICES,283,LEASE PURCHASE -- VEHICLES          0283,10,25,4500000,2085042859,2085042859,2085042859,27125655,9116396,4500000,4500000,2085042859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,2,02 PURCHASE OF SERVICES,285,RENTS                               0285,10,25,90000,2085132859,2085132859,2085132859,27215655,9206396,90000,90000,2085132859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,2,02 PURCHASE OF SERVICES,286,RENTAL OF PARKING SPACES            0286,10,25,398000,2085530859,2085530859,2085530859,27613655,9604396,398000,398000,2085530859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,304,BOOKS AND OTHER PUBLICATIONS        0304,10,25,90000,2085620859,2085620859,2085620859,27703655,90000,90000,90000,2085620859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,305,BUILDING AND CONSTRUCTION           0305,10,25,210000,2085830859,2085830859,2085830859,27913655,300000,210000,210000,2085830859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,307,CHEMICALS AND GASES                 0307,10,25,148000,2085978859,2085978859,2085978859,28061655,448000,148000,148000,2085978859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,308,DRY GOODS/NOTIONS/WEARING APPAREL   0308,10,25,132000,2086110859,2086110859,2086110859,28193655,580000,132000,132000,2086110859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,310,ELECTRICAL AND COMMUNICATION        0310,10,25,2000,2086112859,2086112859,2086112859,28195655,582000,2000,2000,2086112859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,311,GENERAL EQUIPMENT AND MACHINERY     0311,10,25,1000,2086113859,2086113859,2086113859,28196655,583000,1000,1000,2086113859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,312,FIRE FIGHTING AND SAFETY            0312,10,25,20000,2086133859,2086133859,2086133859,28216655,603000,20000,20000,2086133859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,313,FOOD                                0313,10,25,2000,2086135859,2086135859,2086135859,28218655,605000,2000,2000,2086135859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,314,FUEL -- HEATING AND LIGHTING        0314,10,25,14000,2086149859,2086149859,2086149859,28232655,619000,14000,14000,2086149859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,316,GENERAL HARDWARE AND MINOR TOOLS    0316,10,25,50000,2086199859,2086199859,2086199859,28282655,669000,50000,50000,2086199859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,317,HOSPITAL AND LABORATORY             0317,10,25,7000,2086206859,2086206859,2086206859,28289655,676000,7000,7000,2086206859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,318,"JANITORIAL, LAUNDRY AND HOUSEHOLD   0318",10,25,63000,2086269859,2086269859,2086269859,28352655,739000,63000,63000,2086269859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,320,OFFICE MATERIALS AND SUPPLIES       0320,10,25,12500,2086282359,2086282359,2086282359,28365155,751500,25000,12500,2086282359,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,320,OFFICE MATERIALS AND SUPPLIES       0320,10,25,12500,2086294859,2086294859,2086294859,28377655,764000,25000,25000,2086294859,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,322,SMALL POWER TOOLS AND HAND TOOLS    0322,10,25,102724,2086397583,2086397583,2086397583,28480379,866724,102724,102724,2086397583,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,323,PLUMBING/AIR CONDITIONING/SPACE HTG 0323,10,25,1000,2086398583,2086398583,2086398583,28481379,867724,1000,1000,2086398583,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,324,"PRECISION, PHOTOGRAPHIC AND ARTISTS 0324",10,25,20000,2086418583,2086418583,2086418583,28501379,887724,20000,20000,2086418583,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,325,PRINTING                            0325,10,25,4000,2086422583,2086422583,2086422583,28505379,891724,8000,4000,2086422583,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,325,PRINTING                            0325,10,25,4000,2086426583,2086426583,2086426583,28509379,895724,8000,8000,2086426583,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,328,MOTOR VEHICLE PARTS AND ACCESSORIES 0328,10,25,9371811,2095798394,2095798394,2095798394,37881190,10267535,9371811,9371811,2095798394,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,335,LUBRICANTS                          0335,10,25,840000,2096638394,2096638394,2096638394,38721190,11107535,840000,840000,2096638394,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,340,#2 DIESEL FUEL                      0340,10,25,6096000,2102734394,2102734394,2102734394,44817190,17203535,6096000,6096000,2102734394,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,3,03 MATERIALS AND SUPPLIES,345,GASOLINE                            0345,10,25,8959676,2111694070,2111694070,2111694070,53776866,26163211,8959676,8959676,2111694070,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,4,04 EQUIPMENT,411,GENERAL EQUIPMENT AND MACHINERY     0411,10,25,200000,2111894070,2111894070,2111894070,53976866,200000,200000,200000,2111894070,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,4,04 EQUIPMENT,420,OFFICE EQUIPMENT                    0420,10,25,7500,2111901570,2111901570,2111901570,53984366,207500,15000,7500,2111901570,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,4,04 EQUIPMENT,420,OFFICE EQUIPMENT                    0420,10,25,7500,2111909070,2111909070,2111909070,53991866,215000,15000,15000,2111909070,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,4,04 EQUIPMENT,424,"PRECISION, PHOTOGRAPHIC AND ARTIST  0424",10,25,5000,2111914070,2111914070,2111914070,53996866,220000,5000,5000,2111914070,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,4,04 EQUIPMENT,427,COMPUTER EQUIPMENT & PERIPHERALS    0427,10,25,60000,2111974070,2111974070,2111974070,54056866,280000,60000,60000,2111974070,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,4,04 EQUIPMENT,428,VEHICLES -- MOTOR AND MOTORLESS     0428,10,25,9465000,2121439070,2121439070,2121439070,63521866,9745000,9465000,9465000,2121439070,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,4,04 EQUIPMENT,430,FURNITURE AND FURNISHINGS           0430,10,25,10000,2121449070,2121449070,2121449070,63531866,9755000,20000,10000,2121449070,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,4,04 EQUIPMENT,430,FURNITURE AND FURNISHINGS           0430,10,25,10000,2121459070,2121459070,2121459070,63541866,9765000,20000,20000,2121459070,010 GENERAL OPERATING FD,25 FLEET MANAGEMENT
2018,1,1,01 PERSONAL SERVICES,100,SALARY CONTROL                      0100,10,26,50000,2121509070,2121509070,2121509070,50000,50000,200000,50000,2121509070,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,100,SALARY CONTROL                      0100,10,26,40000,2121549070,2121549070,2121549070,90000,90000,200000,90000,2121549070,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,100,SALARY CONTROL                      0100,10,26,80000,2121629070,2121629070,2121629070,170000,170000,200000,170000,2121629070,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,100,SALARY CONTROL                      0100,10,26,20000,2121649070,2121649070,2121649070,190000,190000,200000,190000,2121649070,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,100,SALARY CONTROL                      0100,10,26,10000,2121659070,2121659070,2121659070,200000,200000,200000,200000,2121659070,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,101,PERM FULL TIME-CIVILIAN             0101,10,26,2179278,2123838348,2123838348,2123838348,2379278,2379278,21585319,2179278,2123838348,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,101,PERM FULL TIME-CIVILIAN             0101,10,26,7938612,2131776960,2131776960,2131776960,10317890,10317890,21585319,10117890,2131776960,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,101,PERM FULL TIME-CIVILIAN             0101,10,26,5602705,2137379665,2137379665,2137379665,15920595,15920595,21585319,15720595,2137379665,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,101,PERM FULL TIME-CIVILIAN             0101,10,26,5104659,2142484324,2142484324,2142484324,21025254,21025254,21585319,20825254,2142484324,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,101,PERM FULL TIME-CIVILIAN             0101,10,26,760065,2143244389,2143244389,2143244389,21785319,21785319,21585319,21585319,2143244389,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,161,OVERTIME-CIVILIAN                   0161,10,26,50000,2143294389,2143294389,2143294389,21835319,21835319,1220825,50000,2143294389,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,161,OVERTIME-CIVILIAN                   0161,10,26,105000,2143399389,2143399389,2143399389,21940319,21940319,1220825,155000,2143399389,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,161,OVERTIME-CIVILIAN                   0161,10,26,15000,2143414389,2143414389,2143414389,21955319,21955319,1220825,170000,2143414389,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,161,OVERTIME-CIVILIAN                   0161,10,26,330000,2143744389,2143744389,2143744389,22285319,22285319,1220825,500000,2143744389,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,161,OVERTIME-CIVILIAN                   0161,10,26,720825,2144465214,2144465214,2144465214,23006144,23006144,1220825,1220825,2144465214,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,171,"HOLIDAY ""G""(2/3 SHIFTS)             0171",10,26,1500,2144466714,2144466714,2144466714,23007644,23007644,10000,1500,2144466714,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,171,"HOLIDAY ""G""(2/3 SHIFTS)             0171",10,26,1000,2144467714,2144467714,2144467714,23008644,23008644,10000,2500,2144467714,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,171,"HOLIDAY ""G""(2/3 SHIFTS)             0171",10,26,4000,2144471714,2144471714,2144471714,23012644,23012644,10000,6500,2144471714,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,171,"HOLIDAY ""G""(2/3 SHIFTS)             0171",10,26,500,2144472214,2144472214,2144472214,23013144,23013144,10000,7000,2144472214,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,171,"HOLIDAY ""G""(2/3 SHIFTS)             0171",10,26,3000,2144475214,2144475214,2144475214,23016144,23016144,10000,10000,2144475214,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,181,SHIFT                               0181,10,26,700,2144475914,2144475914,2144475914,23016844,23016844,3586,700,2144475914,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,181,SHIFT                               0181,10,26,400,2144476314,2144476314,2144476314,23017244,23017244,3586,1100,2144476314,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,181,SHIFT                               0181,10,26,200,2144476514,2144476514,2144476514,23017444,23017444,3586,1300,2144476514,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,181,SHIFT                               0181,10,26,100,2144476614,2144476614,2144476614,23017544,23017544,3586,1400,2144476614,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,1,01 PERSONAL SERVICES,181,SHIFT                               0181,10,26,2186,2144478800,2144478800,2144478800,23019730,23019730,3586,3586,2144478800,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,201,CLEANING AND LAUNDERING             0201,10,26,500,2144479300,2144479300,2144479300,23020230,500,989,500,2144479300,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,201,CLEANING AND LAUNDERING             0201,10,26,489,2144479789,2144479789,2144479789,23020719,989,989,989,2144479789,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,202,JANITORIAL SERVICES                 0202,10,26,17734,2144497523,2144497523,2144497523,23038453,18723,43884,17734,2144497523,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,202,JANITORIAL SERVICES                 0202,10,26,9834,2144507357,2144507357,2144507357,23048287,28557,43884,27568,2144507357,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,202,JANITORIAL SERVICES                 0202,10,26,16316,2144523673,2144523673,2144523673,23064603,44873,43884,43884,2144523673,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,205,REFUSE/GARBAGE/SILT/SLUDGE REMOVAL  0205,10,26,2000,2144525673,2144525673,2144525673,23066603,46873,2000,2000,2144525673,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,209,TELEPHONE                           0209,10,26,21323,2144546996,2144546996,2144546996,23087926,68196,29995,21323,2144546996,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,209,TELEPHONE                           0209,10,26,8372,2144555368,2144555368,2144555368,23096298,76568,29995,29695,2144555368,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,209,TELEPHONE                           0209,10,26,300,2144555668,2144555668,2144555668,23096598,76868,29995,29995,2144555668,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,210,POSTAGE                             0210,10,26,11,2144555679,2144555679,2144555679,23096609,76879,504,11,2144555679,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,210,POSTAGE                             0210,10,26,493,2144556172,2144556172,2144556172,23097102,77372,504,504,2144556172,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION                      0211,10,26,2000,2144558172,2144558172,2144558172,23099102,79372,162851,2000,2144558172,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION                      0211,10,26,76197,2144634369,2144634369,2144634369,23175299,155569,162851,78197,2144634369,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION                      0211,10,26,5000,2144639369,2144639369,2144639369,23180299,160569,162851,83197,2144639369,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION                      0211,10,26,79654,2144719023,2144719023,2144719023,23259953,240223,162851,162851,2144719023,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,216,COMMERCIAL OFF-SHELF COMP SOFTWARE  0216,10,26,1000,2144720023,2144720023,2144720023,23260953,241223,1000,1000,2144720023,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,230,MEALS-NON-TRAVEL & OFFICL ENTERTAIN 0230,10,26,1000,2144721023,2144721023,2144721023,23261953,242223,1000,1000,2144721023,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,240,ADVERTISING/PROMOTIONAL ACTIVITIES  0240,10,26,7000,2144728023,2144728023,2144728023,23268953,249223,7000,7000,2144728023,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES  0250,10,26,350200,2145078223,2145078223,2145078223,23619153,599423,1545700,350200,2145078223,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES  0250,10,26,104681,2145182904,2145182904,2145182904,23723834,704104,1545700,454881,2145182904,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES  0250,10,26,902331,2146085235,2146085235,2146085235,24626165,1606435,1545700,1357212,2146085235,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES  0250,10,26,188488,2146273723,2146273723,2146273723,24814653,1794923,1545700,1545700,2146273723,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,251,INFORMATION TECHNOLOGY-PROF SERVICE 0251,10,26,5400,2146279123,2146279123,2146279123,24820053,1800323,5400,5400,2146279123,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,255,DUES                                0255,10,26,505,2146279628,2146279628,2146279628,24820558,1800828,5612,505,2146279628,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,255,DUES                                0255,10,26,1000,2146280628,2146280628,2146280628,24821558,1801828,5612,1505,2146280628,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,255,DUES                                0255,10,26,1107,2146281735,2146281735,2146281735,24822665,1802935,5612,2612,2146281735,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,255,DUES                                0255,10,26,3000,2146284735,2146284735,2146284735,24825665,1805935,5612,5612,2146284735,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS       0256,10,26,46871,2146331606,2146331606,2146331606,24872536,1852806,607536,46871,2146331606,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS       0256,10,26,117424,2146449030,2146449030,2146449030,24989960,1970230,607536,164295,2146449030,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS       0256,10,26,171853,2146620883,2146620883,2146620883,25161813,2142083,607536,336148,2146620883,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS       0256,10,26,68500,2146689383,2146689383,2146689383,25230313,2210583,607536,404648,2146689383,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS       0256,10,26,202888,2146892271,2146892271,2146892271,25433201,2413471,607536,607536,2146892271,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,258,COURT REPORTERS                     0258,10,26,288,2146892559,2146892559,2146892559,25433489,2413759,788,288,2146892559,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,258,COURT REPORTERS                     0258,10,26,500,2146893059,2146893059,2146893059,25433989,2414259,788,788,2146893059,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,260,REPAIR AND MAINTENANCE CHARGES      0260,10,26,60415,2146953474,2146953474,2146953474,25494404,2474674,482465,60415,2146953474,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,260,REPAIR AND MAINTENANCE CHARGES      0260,10,26,16300,2146969774,2146969774,2146969774,25510704,2490974,482465,76715,2146969774,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,260,REPAIR AND MAINTENANCE CHARGES      0260,10,26,1250,2146971024,2146971024,2146971024,25511954,2492224,482465,77965,2146971024,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,260,REPAIR AND MAINTENANCE CHARGES      0260,10,26,392500,2147363524,2147363524,2147363524,25904454,2884724,482465,470465,2147363524,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,260,REPAIR AND MAINTENANCE CHARGES      0260,10,26,12000,2147375524,2147375524,2147375524,25916454,2896724,482465,482465,2147375524,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,262,DEMOLITION OF BUILDINGS             0262,10,26,8593981,2155969505,2155969505,2155969505,34510435,11490705,8593981,8593981,2155969505,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,266,MAINT/SUPPORT-COMPUTR HARDWARE/SOFT 0266,10,26,1800,2155971305,2155971305,2155971305,34512235,11492505,22325,1800,2155971305,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,266,MAINT/SUPPORT-COMPUTR HARDWARE/SOFT 0266,10,26,5621,2155976926,2155976926,2155976926,34517856,11498126,22325,7421,2155976926,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,266,MAINT/SUPPORT-COMPUTR HARDWARE/SOFT 0266,10,26,6354,2155983280,2155983280,2155983280,34524210,11504480,22325,13775,2155983280,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,266,MAINT/SUPPORT-COMPUTR HARDWARE/SOFT 0266,10,26,8550,2155991830,2155991830,2155991830,34532760,11513030,22325,22325,2155991830,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,284,GROUND AND BUILDING RENTAL          0284,10,26,172000,2156163830,2156163830,2156163830,34704760,11685030,172000,172000,2156163830,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,285,RENTS                               0285,10,26,10100,2156173930,2156173930,2156173930,34714860,11695130,23500,10100,2156173930,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,285,RENTS                               0285,10,26,11900,2156185830,2156185830,2156185830,34726760,11707030,23500,22000,2156185830,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,285,RENTS                               0285,10,26,1500,2156187330,2156187330,2156187330,34728260,11708530,23500,23500,2156187330,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,286,RENTAL OF PARKING SPACES            0286,10,26,113649,2156300979,2156300979,2156300979,34841909,11822179,113649,113649,2156300979,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,295,PURCHASE SERVICES-IMPREST ADVANCES  0295,10,26,800,2156301779,2156301779,2156301779,34842709,11822979,800,800,2156301779,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,2,02 PURCHASE OF SERVICES,299,OTHER EXPENSES (NOT OTHRWSE CLSSFD) 0299,10,26,82,2156301861,2156301861,2156301861,34842791,11823061,82,82,2156301861,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,3,03 MATERIALS AND SUPPLIES,304,BOOKS AND OTHER PUBLICATIONS        0304,10,26,20500,2156322361,2156322361,2156322361,34863291,20500,52335,20500,2156322361,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
2018,1,3,03 MATERIALS AND SUPPLIES,304,BOOKS AND OTHER PUBLICATIONS        0304,10,26,12210,2156334571,2156334571,2156334571,34875501,32710,52335,32710,2156334571,010 GENERAL OPERATING FD,26 LICENSES & INSPECTIONS
