"class","class_id","department","fiscal_year","fund","minor_class","minor_class_id","total"
"Equipment","4","Public Property","2016","General Operating Fund","Furniture and Furnishings","430","44806"
"Equipment","4","Public Property","2016","General Operating Fund","Other Equipment (noc)","499","4036"
"Payments to Other Funds","8","Public Property","2016","General Operating Fund","Payments to Water Fund","803","23103706"
"Payments to Other Funds","8","Public Property","2016","General Operating Fund","Payments to Capital Projects Fund","804","264000"
"Personal Services","1","Human Services","2016","General Operating Fund","Salary Control","100","129968"
"Personal Services","1","Human Services","2016","General Operating Fund","Perm Full Time-civilian","101","21216690"
"Personal Services","1","Human Services","2016","General Operating Fund","Perm Part Time","111","987"
"Personal Services","1","Human Services","2016","General Operating Fund","Overtime Civilian","161","3082274"
"Personal Services","1","Human Services","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","152535"
"Personal Services","1","Human Services","2016","General Operating Fund","Shift","181","54856"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Cleaning and Laundering","201","1320"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Janitorial Services","202","1187"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Refuse/garbage/silt/sludge Removal","205","9609"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Telephone","209","94042"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Postage","210","20347"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Transportation","211","217748"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Licenses Permits Inspection Charges","215","11244"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Commercial Off-shelf Comp Software","216","147999"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Meals-non-travel & Officl Entertain","230","6003"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Professional Consult/spec Services","250","46397013"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Information Technology-prof Service","251","2975950"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Legal Services","253","387691"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Mental Health & Retardation Service","254","292740"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Dues","255","8826"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Seminar and Training Sessions","256","455434"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Court Reporters","258","8913"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Repair and Maintenance Charges","260","59793"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","27360"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Lease Payments-phila Municipal Auth","281","1545170"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Rent/lease-purchase Computer Equip","282","521"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Ground and Building Rental","284","148136"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Rents","285","100925"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Rental of Parking Spaces","286","23284"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Payments for Care of Individuals","290","23835782"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Purchase Services-imprest Advances","295","595"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Payments for Burials and Graves","298","1931"
"Purchase of Services","2","Human Services","2016","General Operating Fund","Other Expenses (not Othrwse Clssfd)","299","372"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","Bakeshop, Dining Room and Kitchen","303","1750"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","Books and Other Publications","304","1234"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","Building and Construction","305","13055"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","Dry Goods/notions/wearing Apparel","308","71323"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","Electrical and Communication","310","2858"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","General Equipment and Machinery","311","500"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","Fire Fighting and Safety","312","14727"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","Food","313","300292"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","General Hardware and Minor Tools","316","5646"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","Hospital and Laboratory","317","3291"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","Janitorial, Laundry and Household","318","40418"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","Office Materials and Supplies","320","118259"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","Small Power Tools and Hand Tools","322","2634"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","323","2692"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","Precision, Photographic and Artists","324","33746"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","Printing","325","10929"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","Recreational and Educational","326","5099"
"Materials and Supplies","3","Human Services","2016","General Operating Fund","Other Materials and Supplies (noc)","399","1004"
"Equipment","4","Human Services","2016","General Operating Fund","Electrical Lighting Communication","410","13500"
"Equipment","4","Human Services","2016","General Operating Fund","General Equipment and Machinery","411","500"
"Equipment","4","Human Services","2016","General Operating Fund","Office Equipment","420","41189"
"Equipment","4","Human Services","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","423","2500"
"Equipment","4","Human Services","2016","General Operating Fund","Precision, Photographic and Artist","424","11359"
"Equipment","4","Human Services","2016","General Operating Fund","Recreational and Educational","426","2500"
"Equipment","4","Human Services","2016","General Operating Fund","Computer Equipment & Peripherals","427","551585"
"Equipment","4","Human Services","2016","General Operating Fund","Furniture and Furnishings","430","51624"
"Equipment","4","Human Services","2016","General Operating Fund","Other Equipment (noc)","499","7862"
"Personal Services","1","Prisons","2016","General Operating Fund","Salary Control","100","607935"
"Personal Services","1","Prisons","2016","General Operating Fund","Perm Full Time-civilian","101","107906887"
"Personal Services","1","Prisons","2016","General Operating Fund","Plus/minus Gross Adj","109","750000"
"Personal Services","1","Prisons","2016","General Operating Fund","Board","131","2800"
"Personal Services","1","Prisons","2016","General Operating Fund","Overtime Civilian","161","29153537"
"Personal Services","1","Prisons","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","2609193"
"Personal Services","1","Prisons","2016","General Operating Fund","Shift","181","892418"
"Personal Services","1","Prisons","2016","General Operating Fund","Sick Pay(b Time)-civilian","199","338304"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Cleaning and Laundering","201","540000"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Janitorial Services","202","57500"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Refuse/garbage/silt/sludge Removal","205","28000"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Telephone","209","34000"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Postage","210","23000"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Transportation","211","132500"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Licenses Permits Inspection Charges","215","1085"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Commercial Off-shelf Comp Software","216","8999"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Meals-non-travel & Officl Entertain","230","8000"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Advertising/promotional Activities","240","3000"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Professional Consult/spec Services","250","89786616"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Dues","255","8000"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Seminar and Training Sessions","256","74500"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Architectural & Engineering Srvcs","257","28580"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Repair and Maintenance Charges","260","1471147"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","100000"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Ground and Building Rental","284","145119"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Rents","285","68899"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Payments for Care of Individuals","290","12806278"
"Purchase of Services","2","Prisons","2016","General Operating Fund","Other Expenses (not Othrwse Clssfd)","299","129778"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Animal, Livestock and Marine Life","302","2000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Bakeshop, Dining Room and Kitchen","303","20000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Books and Other Publications","304","14000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Building and Construction","305","230000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Chemicals and Gases","307","21000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Dry Goods/notions/wearing Apparel","308","1567298"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Cordage and Fibers","309","500"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Electrical and Communication","310","140000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","General Equipment and Machinery","311","62000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Fire Fighting and Safety","312","198119"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Food","313","6000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Fuel -- Heating and Lighting","314","69375"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","General Hardware and Minor Tools","316","118000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Hospital and Laboratory","317","73000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Janitorial, Laundry and Household","318","752000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Office Materials and Supplies","320","202500"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Small Power Tools and Hand Tools","322","25000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","323","252000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Precision, Photographic and Artists","324","310000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Printing","325","108500"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Recreational and Educational","326","1800"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Motor Vehicle Parts and Accessories","328","5000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","#2 Diesel Fuel","340","8000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Liquid Propane Gas (lpg)","342","4000"
"Materials and Supplies","3","Prisons","2016","General Operating Fund","Other Materials and Supplies (noc)","399","14206"
"Equipment","4","Prisons","2016","General Operating Fund","Electrical Lighting Communication","410","14000"
"Equipment","4","Prisons","2016","General Operating Fund","General Equipment and Machinery","411","15000"
"Equipment","4","Prisons","2016","General Operating Fund","Fire Fighting and Emergency","412","2400"
"Equipment","4","Prisons","2016","General Operating Fund","Janitorial and Laundry","418","20000"
"Equipment","4","Prisons","2016","General Operating Fund","Office Equipment","420","18000"
"Equipment","4","Prisons","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","423","125000"
"Equipment","4","Prisons","2016","General Operating Fund","Precision, Photographic and Artist","424","3000"
"Equipment","4","Prisons","2016","General Operating Fund","Recreational and Educational","426","5000"
"Equipment","4","Prisons","2016","General Operating Fund","Computer Equipment & Peripherals","427","224739"
"Equipment","4","Prisons","2016","General Operating Fund","Furniture and Furnishings","430","86989"
"Equipment","4","Prisons","2016","General Operating Fund","Other Equipment (noc)","499","50318"
"Contributions, Indemnities, Refunds, Taxes","5","Prisons","2016","General Operating Fund","Prisoner Inmate & Resident Payments","506","1301757"
"Personal Services","1","Office of Supportive Housing","2016","General Operating Fund","Salary Control","100","11500"
"Personal Services","1","Office of Supportive Housing","2016","General Operating Fund","Perm Full Time-civilian","101","8013879"
"Personal Services","1","Office of Supportive Housing","2016","General Operating Fund","Overtime Civilian","161","204809"
"Personal Services","1","Office of Supportive Housing","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","37072"
"Personal Services","1","Office of Supportive Housing","2016","General Operating Fund","Shift","181","13953"
"Purchase of Services","2","Office of Supportive Housing","2016","General Operating Fund","Cleaning and Laundering","201","36000"
"Purchase of Services","2","Office of Supportive Housing","2016","General Operating Fund","Telephone","209","35000"
"Purchase of Services","2","Office of Supportive Housing","2016","General Operating Fund","Postage","210","15500"
"Purchase of Services","2","Office of Supportive Housing","2016","General Operating Fund","Transportation","211","44800"
"Purchase of Services","2","Office of Supportive Housing","2016","General Operating Fund","Licenses Permits Inspection Charges","215","150"
"Purchase of Services","2","Revenue","2016","Water Operating Fund","Rents","285","25508"
"Purchase of Services","2","Office of Supportive Housing","2016","General Operating Fund","Commercial Off-shelf Comp Software","216","9000"
"Purchase of Services","2","Office of Supportive Housing","2016","General Operating Fund","Professional Consult/spec Services","250","5522905"
"Purchase of Services","2","Office of Supportive Housing","2016","General Operating Fund","Mental Health & Retardation Service","254","16200"
"Purchase of Services","2","Office of Supportive Housing","2016","General Operating Fund","Dues","255","1500"
"Purchase of Services","2","Office of Supportive Housing","2016","General Operating Fund","Seminar and Training Sessions","256","5500"
"Purchase of Services","2","Office of Supportive Housing","2016","General Operating Fund","Repair and Maintenance Charges","260","62000"
"Purchase of Services","2","Office of Supportive Housing","2016","General Operating Fund","Ground and Building Rental","284","3163002"
"Purchase of Services","2","Office of Supportive Housing","2016","General Operating Fund","Rents","285","25000"
"Purchase of Services","2","Office of Supportive Housing","2016","General Operating Fund","Payments for Care of Individuals","290","27950064"
"Materials and Supplies","3","Office of Supportive Housing","2016","General Operating Fund","Bakeshop, Dining Room and Kitchen","303","10000"
"Materials and Supplies","3","Office of Supportive Housing","2016","General Operating Fund","Building and Construction","305","7868"
"Materials and Supplies","3","Office of Supportive Housing","2016","General Operating Fund","Dry Goods/notions/wearing Apparel","308","22598"
"Materials and Supplies","3","Office of Supportive Housing","2016","General Operating Fund","Electrical and Communication","310","2767"
"Materials and Supplies","3","Office of Supportive Housing","2016","General Operating Fund","Food","313","2500"
"Materials and Supplies","3","Office of Supportive Housing","2016","General Operating Fund","Fuel -- Heating and Lighting","314","7500"
"Materials and Supplies","3","Office of Supportive Housing","2016","General Operating Fund","General Hardware and Minor Tools","316","5700"
"Materials and Supplies","3","Office of Supportive Housing","2016","General Operating Fund","Hospital and Laboratory","317","12000"
"Materials and Supplies","3","Office of Supportive Housing","2016","General Operating Fund","Janitorial, Laundry and Household","318","43383"
"Materials and Supplies","3","Office of Supportive Housing","2016","General Operating Fund","Office Materials and Supplies","320","26314"
"Materials and Supplies","3","Office of Supportive Housing","2016","General Operating Fund","Precision, Photographic and Artists","324","9148"
"Materials and Supplies","3","Office of Supportive Housing","2016","General Operating Fund","Printing","325","10000"
"Materials and Supplies","3","Office of Supportive Housing","2016","General Operating Fund","Recreational and Educational","326","1800"
"Materials and Supplies","3","Office of Supportive Housing","2016","General Operating Fund","Other Materials and Supplies (noc)","399","599"
"Equipment","4","Office of Supportive Housing","2016","General Operating Fund","Janitorial and Laundry","418","20000"
"Equipment","4","Office of Supportive Housing","2016","General Operating Fund","Office Equipment","420","38010"
"Equipment","4","Office of Supportive Housing","2016","General Operating Fund","Computer Equipment & Peripherals","427","50388"
"Equipment","4","Office of Supportive Housing","2016","General Operating Fund","Furniture and Furnishings","430","73552"
"Contributions, Indemnities, Refunds, Taxes","5","Office of Supportive Housing","2016","General Operating Fund","Prisoner Inmate & Resident Payments","506","32421"
"Personal Services","1","Fleet Management","2016","General Operating Fund","Salary Control","100","131797"
"Personal Services","1","Fleet Management","2016","General Operating Fund","Perm Full Time-civilian","101","14324837"
"Personal Services","1","Fleet Management","2016","General Operating Fund","Temporary Seasonal","121","85611"
"Personal Services","1","Fleet Management","2016","General Operating Fund","Overtime Civilian","161","1818478"
"Personal Services","1","Fleet Management","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","120143"
"Personal Services","1","Fleet Management","2016","General Operating Fund","Shift","181","64027"
"Purchase of Services","2","Fleet Management","2016","General Operating Fund","Cleaning and Laundering","201","62000"
"Purchase of Services","2","Fleet Management","2016","General Operating Fund","Janitorial Services","202","348000"
"Purchase of Services","2","Fleet Management","2016","General Operating Fund","Telephone","209","10000"
"Purchase of Services","2","Fleet Management","2016","General Operating Fund","Postage","210","2000"
"Purchase of Services","2","Fleet Management","2016","General Operating Fund","Transportation","211","10000"
"Purchase of Services","2","Fleet Management","2016","General Operating Fund","Licenses Permits Inspection Charges","215","76000"
"Purchase of Services","2","Fleet Management","2016","General Operating Fund","Professional Consult/spec Services","250","554000"
"Purchase of Services","2","Fleet Management","2016","General Operating Fund","Dues","255","4000"
"Purchase of Services","2","Fleet Management","2016","General Operating Fund","Seminar and Training Sessions","256","24000"
"Purchase of Services","2","Fleet Management","2016","General Operating Fund","Repair and Maintenance Charges","260","3514396"
"Purchase of Services","2","Fleet Management","2016","General Operating Fund","Insurance and Official Bonds","280","12000"
"Purchase of Services","2","Fleet Management","2016","General Operating Fund","Lease Purchase -- Vehicles","283","4500000"
"Purchase of Services","2","Fleet Management","2016","General Operating Fund","Rents","285","90000"
"Purchase of Services","2","Fleet Management","2016","General Operating Fund","Rental of Parking Spaces","286","398000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Books and Other Publications","304","65000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Building and Construction","305","155000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Chemicals and Gases","307","148000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Dry Goods/notions/wearing Apparel","308","125000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Electrical and Communication","310","2000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Fire Fighting and Safety","312","15000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Food","313","2000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Fuel -- Heating and Lighting","314","14000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","General Hardware and Minor Tools","316","38000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Hospital and Laboratory","317","3000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Janitorial, Laundry and Household","318","63000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Office Materials and Supplies","320","25000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Small Power Tools and Hand Tools","322","76000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","323","1000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Precision, Photographic and Artists","324","20000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Printing","325","8000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Motor Vehicle Parts and Accessories","328","9371811"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Lubricants","335","545400"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","#2 Diesel Fuel","340","5796000"
"Materials and Supplies","3","Fleet Management","2016","General Operating Fund","Gasoline","345","8190000"
"Equipment","4","Fleet Management","2016","General Operating Fund","Bakeshop, Dining Room and Kitchen","403","1500"
"Equipment","4","Fleet Management","2016","General Operating Fund","Construction, Dredging, Conveying","405","3000"
"Equipment","4","Fleet Management","2016","General Operating Fund","Electrical Lighting Communication","410","3500"
"Equipment","4","Fleet Management","2016","General Operating Fund","General Equipment and Machinery","411","188000"
"Equipment","4","Fleet Management","2016","General Operating Fund","Janitorial and Laundry","418","5000"
"Equipment","4","Fleet Management","2016","General Operating Fund","Office Equipment","420","15000"
"Equipment","4","Fleet Management","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","423","2000"
"Equipment","4","Fleet Management","2016","General Operating Fund","Precision, Photographic and Artist","424","2000"
"Equipment","4","Fleet Management","2016","General Operating Fund","Computer Equipment & Peripherals","427","60000"
"Equipment","4","Fleet Management","2016","General Operating Fund","Vehicles -- Motor and Motorless","428","10465000"
"Equipment","4","Fleet Management","2016","General Operating Fund","Furniture and Furnishings","430","20000"
"Personal Services","1","Licenses & Inspections","2016","General Operating Fund","Salary Control","100","180000"
"Personal Services","1","Licenses & Inspections","2016","General Operating Fund","Perm Full Time-civilian","101","19119111"
"Personal Services","1","Licenses & Inspections","2016","General Operating Fund","Overtime Civilian","161","465000"
"Personal Services","1","Licenses & Inspections","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","5350"
"Personal Services","1","Licenses & Inspections","2016","General Operating Fund","Shift","181","1250"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Cleaning and Laundering","201","500"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Janitorial Services","202","29700"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Refuse/garbage/silt/sludge Removal","205","2000"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Telephone","209","26507"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Postage","210","500"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Transportation","211","177157"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Meals-non-travel & Officl Entertain","230","1000"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Advertising/promotional Activities","240","10000"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Professional Consult/spec Services","250","730012"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Information Technology-prof Service","251","7560"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Dues","255","4502"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Seminar and Training Sessions","256","390376"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Court Reporters","258","1000"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Repair and Maintenance Charges","260","337300"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Demolition of Buildings","262","8408812"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","7838"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Rents","285","19900"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Rental of Parking Spaces","286","106492"
"Purchase of Services","2","Licenses & Inspections","2016","General Operating Fund","Purchase Services-imprest Advances","295","750"
"Materials and Supplies","3","Licenses & Inspections","2016","General Operating Fund","Books and Other Publications","304","16326"
"Materials and Supplies","3","Licenses & Inspections","2016","General Operating Fund","Building and Construction","305","108641"
"Purchase of Services","2","Records","2016","General Operating Fund","Professional Consult/spec Services","250","871154"
"Materials and Supplies","3","Licenses & Inspections","2016","General Operating Fund","Dry Goods/notions/wearing Apparel","308","35250"
"Materials and Supplies","3","Licenses & Inspections","2016","General Operating Fund","Electrical and Communication","310","7500"
"Materials and Supplies","3","Licenses & Inspections","2016","General Operating Fund","Fire Fighting and Safety","312","202800"
"Materials and Supplies","3","Licenses & Inspections","2016","General Operating Fund","General Hardware and Minor Tools","316","4100"
"Materials and Supplies","3","Licenses & Inspections","2016","General Operating Fund","Janitorial, Laundry and Household","318","33052"
"Materials and Supplies","3","Licenses & Inspections","2016","General Operating Fund","Office Materials and Supplies","320","55000"
"Materials and Supplies","3","Licenses & Inspections","2016","General Operating Fund","Small Power Tools and Hand Tools","322","50000"
"Materials and Supplies","3","Licenses & Inspections","2016","General Operating Fund","Precision, Photographic and Artists","324","30400"
"Materials and Supplies","3","Licenses & Inspections","2016","General Operating Fund","Printing","325","2500"
"Equipment","4","Licenses & Inspections","2016","General Operating Fund","Construction, Dredging, Conveying","405","800"
"Equipment","4","Licenses & Inspections","2016","General Operating Fund","General Equipment and Machinery","411","2200"
"Equipment","4","Licenses & Inspections","2016","General Operating Fund","Office Equipment","420","66809"
"Equipment","4","Licenses & Inspections","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","423","1300"
"Equipment","4","Licenses & Inspections","2016","General Operating Fund","Precision, Photographic and Artist","424","6300"
"Equipment","4","Licenses & Inspections","2016","General Operating Fund","Computer Equipment & Peripherals","427","4605"
"Equipment","4","Licenses & Inspections","2016","General Operating Fund","Vehicles -- Motor and Motorless","428","130000"
"Equipment","4","Licenses & Inspections","2016","General Operating Fund","Furniture and Furnishings","430","686358"
"Personal Services","1","Board of Licenses & Inspections","2016","General Operating Fund","Perm Full Time-civilian","101","99445"
"Personal Services","1","Board of Licenses & Inspections","2016","General Operating Fund","Board","131","57909"
"Purchase of Services","2","Board of Licenses & Inspections","2016","General Operating Fund","Court Reporters","258","10436"
"Personal Services","1","Board of Building Standards","2016","General Operating Fund","Perm Full Time-civilian","101","49737"
"Personal Services","1","Board of Building Standards","2016","General Operating Fund","Board","131","24233"
"Personal Services","1","Zoning Board","2016","General Operating Fund","Perm Full Time-civilian","101","221130"
"Personal Services","1","Zoning Board","2016","General Operating Fund","Board","131","116619"
"Purchase of Services","2","Zoning Board","2016","General Operating Fund","Court Reporters","258","34541"
"Personal Services","1","Records","2016","General Operating Fund","Salary Control","100","1000"
"Personal Services","1","Records","2016","General Operating Fund","Perm Full Time-civilian","101","2794226"
"Personal Services","1","Records","2016","General Operating Fund","Plus/minus Gross Adj","109","35105"
"Personal Services","1","Records","2016","General Operating Fund","Temporary Seasonal","121","46169"
"Personal Services","1","Records","2016","General Operating Fund","Board","131","30279"
"Personal Services","1","Records","2016","General Operating Fund","Overtime Civilian","161","150172"
"Personal Services","1","Records","2016","General Operating Fund","Shift","181","1881"
"Purchase of Services","2","Records","2016","General Operating Fund","Postage","210","980"
"Purchase of Services","2","Records","2016","General Operating Fund","Transportation","211","65"
"Purchase of Services","2","Records","2016","General Operating Fund","Licenses Permits Inspection Charges","215","4013"
"Purchase of Services","2","Records","2016","General Operating Fund","Commercial Off-shelf Comp Software","216","1600"
"Purchase of Services","2","Records","2016","General Operating Fund","Information Technology-prof Service","251","455000"
"Purchase of Services","2","Records","2016","General Operating Fund","Repair and Maintenance Charges","260","115892"
"Purchase of Services","2","Records","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","160556"
"Purchase of Services","2","Records","2016","General Operating Fund","Rents","285","1575"
"Purchase of Services","2","Records","2016","General Operating Fund","Rental of Parking Spaces","286","3900"
"Purchase of Services","2","Records","2016","General Operating Fund","Payments for Burials and Graves","298","1364"
"Purchase of Services","2","Records","2016","General Operating Fund","Other Expenses (not Othrwse Clssfd)","299","2680"
"Materials and Supplies","3","Records","2016","General Operating Fund","Books and Other Publications","304","107"
"Materials and Supplies","3","Records","2016","General Operating Fund","Office Materials and Supplies","320","16676"
"Materials and Supplies","3","Records","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","323","1845"
"Materials and Supplies","3","Records","2016","General Operating Fund","Precision, Photographic and Artists","324","26108"
"Materials and Supplies","3","Records","2016","General Operating Fund","Printing","325","13235"
"Materials and Supplies","3","Records","2016","General Operating Fund","Recreational and Educational","326","2431"
"Materials and Supplies","3","Records","2016","General Operating Fund","Gasoline","345","100"
"Equipment","4","Records","2016","General Operating Fund","Office Equipment","420","4147"
"Equipment","4","Records","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","423","172"
"Equipment","4","Records","2016","General Operating Fund","Computer Equipment & Peripherals","427","67374"
"Equipment","4","Records","2016","General Operating Fund","Furniture and Furnishings","430","3640"
"Equipment","4","Records","2016","General Operating Fund","Other Equipment (noc)","499","7923"
"Contributions, Indemnities, Refunds, Taxes","5","Records","2016","General Operating Fund","Meritorious Awards","504","1456"
"Personal Services","1","Historical Commission","2016","General Operating Fund","Perm Full Time-civilian","101","411150"
"Personal Services","1","Historical Commission","2016","General Operating Fund","Board","131","11621"
"Purchase of Services","2","Historical Commission","2016","General Operating Fund","Telephone","209","600"
"Purchase of Services","2","Historical Commission","2016","General Operating Fund","Repair and Maintenance Charges","260","380"
"Materials and Supplies","3","Historical Commission","2016","General Operating Fund","Office Materials and Supplies","320","809"
